Date,Closing Price,Opening Price,Highest Price,Lowest Price
11/04/2023,33.1,32.1,33.1,31.9
10/04/2023,32.05,33.4,33.45,32
07/04/2023,32.95,32,33.2,31.8
06/04/2023,32,33.1,33.5,32
05/04/2023,33.1,33,33.25,32.5
31/03/2023,32.1,31.5,32.5,31.1
30/03/2023,32.1,33.15,33.5,32.1
29/03/2023,32.8,31.75,32.8,31.75
28/03/2023,31.7,32.1,32.3,31.6
27/03/2023,32,31.35,32.5,31.35
24/03/2023,31.05,31.5,31.8,31
23/03/2023,31.4,29.25,31.4,29.1
22/03/2023,29.45,29.45,30.35,29.35
21/03/2023,29.3,28.5,29.3,28.1
20/03/2023,28,29.2,29.5,27.9
17/03/2023,29.45,29.75,29.75,28.75
16/03/2023,29.1,29.3,29.8,29.05
15/03/2023,29.2,28.4,29.2,28.15
14/03/2023,27.3,28.4,28.4,27.2
13/03/2023,28.4,27.55,28.55,27.3
10/03/2023,27.85,27.7,28.1,27.35
09/03/2023,28,28.3,28.45,27.8
08/03/2023,28.1,26.5,28.1,26.45
07/03/2023,26.9,26.3,27.1,26.3
03/03/2023,25.8,26.95,27.05,25.8
02/03/2023,26.9,27.3,27.45,26.6
01/03/2023,27.35,25.5,27.35,25.4
28/02/2023,25.7,25.8,26,25.4
27/02/2023,25.2,25.8,26.1,25.2
23/02/2023,27.8,27,27.8,26.15
22/02/2023,27,27.85,28.65,27
21/02/2023,28.4,29,29.1,28.4
20/02/2023,28.8,27,28.8,27
17/02/2023,26.95,27,27.1,26.5
16/02/2023,27,26.5,27,26.15
15/02/2023,26.1,25.45,26.3,25.3
14/02/2023,25.35,25.3,25.95,25.1
13/02/2023,25,26.1,26.5,24.75
10/02/2023,26.6,27.2,27.75,26.6
09/02/2023,27.2,28,28.3,27.2
08/02/2023,28,27.55,28.4,26.75
07/02/2023,27.2,27.55,28.45,27
03/02/2023,27.2,27.7,28.15,26.95
02/02/2023,27.5,27.9,28.2,27.05
01/02/2023,27.85,30.05,30.45,27.85
31/01/2023,29.9,29.3,29.9,28.65
30/01/2023,29.3,29.3,30.2,29
27/01/2023,29.55,30.3,30.6,29.45
19/01/2023,30,29.3,30.8,29.3
18/01/2023,29.7,29.6,30,29.1
17/01/2023,29.9,28.5,29.9,28.35
